Row  1: ['序号', '县/乡镇名称', '机制运行（15分）', '程序规范（30分）', '政策落实（15分）', '工作成效（10分）', '得分（70分）']
Row  2: ['1', '全椒县', '12.5', '/', '/', '/', '/']
Row  3: ['2', '襄河镇', '9', '29', '12', '9', '59']
Row  4: ['3', '古河镇', '', '', '', '', '']
Row  5: ['4', '大墅镇', '14.5', '29.5', '14', '10', '68']
Row  6: ['5', '二郎口镇', '', '', '', '', '']
Row  7: ['6', '武岗镇', '', '', '', '', '']
Row  8: ['7', '马厂镇', '', '', '', '', '']
Row  9: ['8', '石沛镇', '', '', '', '', '']
Row 10: ['9', '十字镇', '', '', '', '', '']
Row 11: ['10', '西王镇', '', '', '', '', '']
Row 12: ['11', '六镇镇', '', '', '', '', '']
Row 13: ['12', '总评', '12.0', '29.2', '13.0', '9.5', '63.5']
